startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,gender,race,party,age,q_children,q_edu,q_inc,q_zip,q_health,q_health_yn_1,q_health_yn_2,q_health_yn_3,q_health_yn_4,q_health_yn_5,q_health_yn_6,q_trust_general_1,q_trust_general_2,q_trust_general_3,q_trust_general_4,q_trust_general_5,q_trust_general_6,q_trust_general_7,q_trust_general_8,q_trust_general_9,q_trust_general_10,q_trust_general_11,q_trust_general_12,q_consume_general_1,q_consume_general_2,q_consume_general_3,q_consume_general_4,q_consume_general_5,q_consume_general_6,q_consume_general_7,q_consume_general_8,q_consume_general_9,q_consume_general_10,q_consume_general_11,q_consume_general_12,q_trust_covid_1,q_trust_covid_2,q_trust_covid_3,q_trust_covid_4,q_trust_covid_5,q_trust_covid_6,q_trust_covid_7,q_trust_covid_8,q_trust_covid_9,q_trust_covid_10,q_trust_covid_11,q_trust_covid_12,q_consume_covid_1,q_consume_covid_2,q_consume_covid_3,q_consume_covid_4,q_consume_covid_5,q_consume_covid_6,q_consume_covid_7,q_consume_covid_8,q_consume_covid_9,q_consume_covid_10,q_consume_covid_11,q_consume_covid_12,q108_do,social_dist_now,social_dist_twoweeks,normalprob0,normalprob,distancingprob,wtpdistancing,q_origin,q_trumptest,q_economy,q_cases_inc,q_trump_inc,q_cases_uninc,q_trump_uninc,q_greater,q_less,aid,incentivized,factualquestions_do,quantitativepredictionsincentivi,quantitativepredictionsunincenti
2020-04-04 15:28:08,2020-04-04 15:30:39,IP Address,50.210.156.2,100,151,True,2020-04-04 15:30:40,R_3j1bjuxBe5E6Qlc,,,,,38.720993,-75.075203,anonymous,EN,Male,White (Not Hispanic or Latinx),Republican (Strongly Republican),29,1,Bachelor's degree,"$75,000 to $99,999",21237,Excellent,No,No,No,Yes,Yes,Yes,A fair amount,A great deal,A fair amount,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A fair amount,A great deal,A fair amount,Often,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,A fair amount,A fair amount,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A fair amount,A great deal,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,"Network news (ABC, CBS, NBC)|MSNBC|Twitter|The Centers for Disease Control (CDC)|The New York Times|The World Health Organization (WHO)|CNN|Fox News|Breitbart|Facebook|Wikipedia|The Wall Street Journal",80,90,70,,80,45,It was developed intentionally in a lab,"Yes, and he tested positive",1,,,5,80,Fake News,Fake News,5e88df74-2d6f-5e0c-8b3e-ab330253bd53,0,Q115|Q114,,Q85|Q113|Q112
2020-04-04 15:27:05,2020-04-04 15:30:50,IP Address,66.74.58.139,100,224,True,2020-04-04 15:30:50,R_8uYisLZoIqss9b3,,,,,34.161896,-116.4335,anonymous,EN,Female,White (Not Hispanic or Latinx),Democrat (Strongly Democratic),27,2,Some college but no degree,"$50,000 to $59,999",92252,Excellent,No,No,No,Yes,Yes,Yes,A great deal,Not familiar with this outlet,A great deal,A great deal,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A great deal,A fair amount,Not familiar with this outlet,Often,Not familiar with this outlet,Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Not familiar with this outlet,A great deal,Not familiar with this outlet,A great deal,A great deal,A great deal,A great deal,A great deal,A fair amount,A great deal,A fair amount,A great deal,Not familiar with this outlet,Sometimes,Not familiar with this outlet,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,"MSNBC|Facebook|The Centers for Disease Control (CDC)|Network news (ABC, CBS, NBC)|Fox News|Wikipedia|Breitbart|The World Health Organization (WHO)|Twitter|The Wall Street Journal|The New York Times|CNN",60,50,70,,50,500,It was developed intentionally in a lab,"Yes, and he tested negative",3,150000,60,,,,,5e88df39-4157-6c5f-7114-63970084639a,1,Q115|Q114,Q35|Q28|Q29,
2020-04-04 15:26:51,2020-04-04 15:31:17,IP Address,107.145.20.74,100,265,True,2020-04-04 15:31:18,R_3KJIvWMaRgx3ih4,,,,,29.042206,-81.286301,anonymous,EN,Female,White (Not Hispanic or Latinx),Republican (Weakly Republican),64,0,High school diploma or equivalent (for example: GED),"$60,000 to $74,999",32713,Very good,No,No,No,No,No,No,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A great deal,Rarely,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Rarely,Rarely,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A great deal,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,"CNN|Twitter|Breitbart|The Centers for Disease Control (CDC)|The World Health Organization (WHO)|MSNBC|Wikipedia|Fox News|Network news (ABC, CBS, NBC)|The New York Times|The Wall Street Journal|Facebook",80,50,75,,1,1000000,It came about naturally,"Yes, and he tested negative",7,,,250000,56,Equally likely to be both,Equally likely to be both,5e88df59-c4f4-7d7a-dfaa-23565b82a879,0,Q114|Q115,,Q85|Q113|Q112
2020-04-04 15:27:28,2020-04-04 15:31:36,IP Address,75.168.66.179,100,248,True,2020-04-04 15:31:37,R_3rPwrapajwx2I2G,,,,,44.982498,-93.186302,anonymous,EN,Female,White (Not Hispanic or Latinx),Democrat (Weakly Democratic),40,3,"Graduate degree (for example: MA, MBA, JD, PhD)","$100,000 to $124,999",55416,Very good,No,No,No,No,No,No,A fair amount,Not very much,A fair amount,Not very much,Not very much,A fair amount,A fair amount,A fair amount,Not very much,A fair amount,A fair amount,A fair amount,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,A fair amount,Not very much,A fair amount,Not very much,Not very much,A fair amount,A fair amount,A fair amount,Not very much,A fair amount,A fair amount,A fair amount,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,"The World Health Organization (WHO)|Facebook|The New York Times|CNN|Wikipedia|Fox News|MSNBC|The Centers for Disease Control (CDC)|Breitbart|The Wall Street Journal|Network news (ABC, CBS, NBC)|Twitter",10,90,80,,20,10000,It was made accidentally in a lab,"Yes, and he tested negative",6,,,300000,30,Equally likely to be both,Equally likely to be both,5e88df74-275f-31cc-1a2d-06894688e450,0,Q115|Q114,,Q85|Q112|Q113
2020-04-04 15:26:57,2020-04-04 15:32:24,IP Address,76.72.193.111,100,326,True,2020-04-04 15:32:24,R_UoNPDPofGrVChhf,,,,,37.161606,-82.793098,anonymous,EN,Female,White (Not Hispanic or Latinx),Democrat (Weakly Democratic),31,1,Bachelor's degree,"$40,000 to $49,999",4185,Very good,No,No,No,Yes,No,No,A great deal,A fair amount,A fair amount,Not very much,A great deal,A great deal,A fair amount,A fair amount,Not very much,A fair amount,A great deal,A fair amount,Often,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,A great deal,A fair amount,A great deal,Not very much,A great deal,A great deal,A great deal,A great deal,Not very much,A fair amount,A great deal,A great deal,Often,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,Rarely,Often,Often,"Breitbart|Twitter|CNN|The World Health Organization (WHO)|Network news (ABC, CBS, NBC)|Wikipedia|Fox News|The New York Times|MSNBC|The Wall Street Journal|The Centers for Disease Control (CDC)|Facebook",80,50,90,,0,500,It was made accidentally in a lab,"Yes, and he tested negative",2,,,500,90,True News,Equally likely to be both,5e88df2f-f4cf-2737-5ec5-db612d2c3316,0,Q114|Q115,,Q85|Q112|Q113
2020-04-04 15:27:55,2020-04-04 15:33:03,IP Address,108.6.200.99,100,307,True,2020-04-04 15:33:03,R_1jOoUaRmATPB6vX,,,,,40.582794,-73.953201,anonymous,EN,Female,Asian or Pacific Islander,Democrat (Strongly Democratic),30,0,"Graduate degree (for example: MA, MBA, JD, PhD)","$50,000 to $59,999",11229,Fair,No,No,No,No,No,No,A fair amount,Not very much,A fair amount,Not very much,None at all,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,A fair amount,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A fair amount,Not very much,A fair amount,Not very much,Not very much,A fair amount,A fair amount,A fair amount,A fair amount,Not very much,A fair amount,A fair amount,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,"The New York Times|Network news (ABC, CBS, NBC)|Wikipedia|CNN|MSNBC|Facebook|The Centers for Disease Control (CDC)|Breitbart|The Wall Street Journal|Fox News|Twitter|The World Health Organization (WHO)",75,50,50,,0,500,It was made accidentally in a lab,"No, he has not taken a test",7,50000,30,,,,,5e88df6b-f64c-407e-e554-b1a9953a47c1,1,Q114|Q115,Q35|Q29|Q28,
2020-04-04 15:27:47,2020-04-04 15:33:06,IP Address,23.241.27.80,100,318,True,2020-04-04 15:33:06,R_06XTfcaLyeiwvaF,,,,,33.929993,-117.9477,anonymous,EN,Male,Asian or Pacific Islander,Democrat (Weakly Democratic),20,0,Some college but no degree,I did not earn income in 2019,91748,Very good,No,No,No,No,No,No,A fair amount,Not familiar with this outlet,A great deal,None at all,A fair amount,Not familiar with this outlet,A fair amount,A fair amount,None at all,Not very much,A great deal,A great deal,Often,Not familiar with this outlet,Often,Sometimes,Rarely,Never,Often,Rarely,Never,Often,Sometimes,Sometimes,A fair amount,Not familiar with this outlet,A fair amount,None at all,A fair amount,Not familiar with this outlet,A fair amount,A fair amount,None at all,Not very much,A great deal,A great deal,Often,Never,Often,Never,Often,Never,Sometimes,Rarely,Never,Rarely,Often,Sometimes,"Fox News|The Wall Street Journal|Breitbart|Twitter|Facebook|CNN|MSNBC|The New York Times|The World Health Organization (WHO)|Wikipedia|The Centers for Disease Control (CDC)|Network news (ABC, CBS, NBC)",90,80,100,,0,500,It came about naturally,"Yes, and he tested negative",7,,,500000,40,True News,Fake News,5e88df35-7243-07fa-295c-95e2aa0e6d1a,0,Q114|Q115,,Q85|Q113|Q112
2020-04-04 15:27:33,2020-04-04 15:33:15,IP Address,73.83.107.223,100,342,True,2020-04-04 15:33:15,R_1mEE8YydiFuerpH,,,,,47.499802,-122.0086,anonymous,EN,Male,White (Not Hispanic or Latinx),Democrat (Strongly Democratic),31,1,Bachelor's degree,"$75,000 to $99,999",98059,Excellent,No,No,No,No,No,No,A fair amount,Not familiar with this outlet,A great deal,A great deal,A fair amount,Not familiar with this outlet,A great deal,None at all,A great deal,Not very much,A great deal,A great deal,Sometimes,Not familiar with this outlet,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not familiar with this outlet,Rarely,Rarely,Often,Sometimes,A fair amount,Not familiar with this outlet,A great deal,A great deal,A fair amount,A fair amount,A great deal,Not familiar with this outlet,A great deal,Not very much,A great deal,A great deal,Sometimes,Not familiar with this outlet,Sometimes,Often,Sometimes,Sometimes,Often,Not familiar with this outlet,Often,Rarely,Often,Often,"Fox News|MSNBC|Network news (ABC, CBS, NBC)|Breitbart|The World Health Organization (WHO)|Facebook|Twitter|The Centers for Disease Control (CDC)|The New York Times|The Wall Street Journal|Wikipedia|CNN",90,50,90,,5,50,It came about naturally,"Yes, and he tested negative",6,,,200000,48,True News,Fake News,5e88df5c-e60a-1652-edb8-7717d69ecf95,0,Q115|Q114,,Q85|Q112|Q113
2020-04-04 15:27:13,2020-04-04 15:33:32,IP Address,73.185.74.161,100,378,True,2020-04-04 15:33:33,R_2SAoGNNty1goaef,,,,,38.643906,-120.9636,anonymous,EN,Male,White (Not Hispanic or Latinx),Independent (Lean toward the Democratic Party),45,0,Some college but no degree,"$20,000 to $29,999",95682,Good,No,No,No,No,Yes,Yes,A great deal,None at all,A fair amount,Not very much,Not very much,A fair amount,A great deal,Not very much,Not very much,A fair amount,A fair amount,A fair amount,Often,Never,Sometimes,Never,Rarely,Rarely,Often,Rarely,Never,Sometimes,Sometimes,Often,A great deal,None at all,A fair amount,None at all,Not very much,A fair amount,A great deal,Not very much,Not very much,A fair amount,A fair amount,A great deal,Often,Never,Sometimes,Never,Rarely,Sometimes,Often,Rarely,Never,Sometimes,Sometimes,Sometimes,"The New York Times|Twitter|Network news (ABC, CBS, NBC)|The Wall Street Journal|MSNBC|Fox News|CNN|Facebook|The World Health Organization (WHO)|Breitbart|Wikipedia|The Centers for Disease Control (CDC)",100,100,75,,10,1000,It came about naturally,"Yes, and he tested negative",7,500000,40,,,,,5e88df31-8b21-db06-f78b-166201e32c88,1,Q114|Q115,Q35|Q29|Q28,
2020-04-04 15:28:43,2020-04-04 15:33:35,IP Address,138.43.168.214,100,291,True,2020-04-04 15:33:35,R_9MRHC2ZLZRIgbN7,,,,,36.262207,-84.698402,anonymous,EN,Female,White (Not Hispanic or Latinx),Independent (Lean toward the Democratic Party),41,0,Some college but no degree,"$10,000 to $19,999",37872,Poor,No,Yes,No,No,Yes,Yes,A great deal,None at all,A fair amount,None at all,None at all,None at all,A fair amount,None at all,None at all,A fair amount,A great deal,A great deal,Often,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,A great deal,None at all,None at all,Not very much,None at all,Not very much,A fair amount,Not very much,None at all,Not very much,A great deal,A great deal,Often,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Often,Often,"The Centers for Disease Control (CDC)|The World Health Organization (WHO)|MSNBC|The New York Times|Wikipedia|Breitbart|Network news (ABC, CBS, NBC)|Twitter|The Wall Street Journal|CNN|Facebook|Fox News",100,100,10,,0,20000,It came about naturally,"Yes, and he tested negative",7,80000,20,,,,,5e88df70-bfb2-25bc-979f-4ecc2ae4a9e0,1,Q115|Q114,Q35|Q28|Q29,
