AID,Date,AGE(1),GENDER(2),HISPANIC(3),ETHNICITY(4),ZIP(5),REGION(6),STANDARD_POLITICAL_PARTY(7),Gender,Hispanic,Ethnicity,Region,Political Party
5E88EB01-6F3E-6836-5F5A-6DB7BCBB732F,4/4/20 16:10,64,1,1,1,8260,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E88EB53-DFEE-2662-86AA-98C07BE46660,4/4/20 15:25,65,1,1,1,32822,3,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E88EB97-F5B0-5527-F461-06ED9816E374,4/4/20 15:27,44,1,1,5,91362,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,West,Republican
5E88E775-3556-E129-B104-33C2F9C7345D,4/4/20 15:20,61,1,1,2,23608,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Democrat
5E88E86A-AB43-1D85-644D-39A7A0D638D0,4/4/20 16:45,51,2,1,1,17974,1,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E89209B-C4ED-DB26-91A7-B336D25E7797,4/4/20 19:19,61,1,1,1,13069,1,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E892086-C859-1625-92C4-006B57081BDF,4/4/20 19:11,37,1,1,2,20708,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Democrat
5E89207B-C07A-13B2-0862-AB11F8427923,4/4/20 19:23,44,2,1,1,24055,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E8920A1-3FE8-FCC7-EF04-BD68FD45A43E,4/4/20 19:18,48,1,1,1,53578,2,3,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Independent
5E892076-251D-ECA9-D508-46E957E93C5E,4/4/20 19:25,74,2,1,1,58474,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E892072-8D2E-9B4C-72A4-4E8C1D1916DC,4/4/20 19:13,46,2,1,1,19809,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E8920AB-B8C5-4031-3E91-C93C8E9532BD,4/4/20 19:18,62,2,1,1,51235,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8920A5-B0DB-F44A-A50F-5D1E49A699FA,4/4/20 19:23,26,1,1,9,95135,4,1,Male,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Vietnamese ,West,Democrat
5E8920B3-9B9E-85FD-705D-73034A3EDA84,4/4/20 19:15,27,2,1,1,34431,3,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Independent
5E8920B2-424E-6429-0EA8-F7C1A08C0EBA,4/4/20 19:20,71,1,1,1,76111,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E89209D-07E6-4DA4-21BE-FD568359941D,4/4/20 19:14,78,2,1,1,67550,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
5E8920BF-C257-15AF-319E-09631EBF6736,4/4/20 20:04,75,2,1,1,67123,2,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E8920C4-6F82-290F-E98D-9F81527FE35F,4/4/20 19:14,25,2,1,1,12887,1,3,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Independent
5E8920C0-B0E6-C3ED-0BF4-8DC857E4DB2D,4/4/20 19:16,49,1,1,1,92504,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E8920BC-FFEE-BD2F-A41B-7624A6103710,4/4/20 19:17,48,2,1,1,21784,3,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,South,Democrat
5E8920C0-0E2D-2A9D-F4DB-46B0DC631386,4/4/20 19:13,28,1,1,1,92101,4,2,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,West,Republican
5E8920E4-4ABF-0A11-C657-A3AA9855F751,4/4/20 19:24,36,1,1,2,75126,3,1,Male,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American",South,Democrat
5E8920FB-2123-210D-B77E-0EEB50E4DC3C,4/4/20 19:19,35,2,1,1,10014,1,1,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Democrat
5E892031-28E7-D81E-0955-F844D63FD1A0,4/4/20 19:24,47,1,1,4,12198,1,1,Male,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Asian Indian ,Northeast,Democrat
5E89202E-4FDF-0B39-CFC5-B2091103ECDC,4/4/20 19:17,74,1,1,1,61832,2,1,Male,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Democrat
5E89204A-3905-3E94-3187-E4006145E6B8,4/4/20 19:09,30,2,1,1,16262,1,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Northeast,Republican
5E892055-46ED-BD47-FFA0-4A099CD2E086,4/4/20 19:15,66,2,1,1,67154,2,2,Female,"No , not of Hispanic, Latino, or Spanish origin",White ,Midwest,Republican
